[u'bell_cote', 0.10216084, u'picket_fence', 0.043862507, u'bannister', 0.038757987, u'grand_piano', 0.037264023, u'matchstick', 0.035489079]
[u'cash_machine', 0.18284863, u'turnstile', 0.086858273, u'sliding_door', 0.059843052, u'library', 0.054706167, u'photocopier', 0.045018416]
[u'prayer_rug', 0.14475492, u'Windsor_tie', 0.037822306, u'container_ship', 0.037168674, u'wool', 0.033277266, u'shower_curtain', 0.032249093]
[u'digital_clock', 0.69593632, u'scoreboard', 0.050689746, u'traffic_light', 0.019508729, u'digital_watch', 0.019210296, u'cinema', 0.011808771]
[u'jigsaw_puzzle', 0.13951458, u'container_ship', 0.067774281, u'balloon', 0.035632052, u'toilet_seat', 0.025358172, u'Windsor_tie', 0.02364099]
[u'wall_clock', 0.065871827, u'necklace', 0.041210633, u'jigsaw_puzzle', 0.037068173, u'pencil_sharpener', 0.036733225, u'bell_cote', 0.031196468]
[u'sliding_door', 0.32964841, u'window_shade', 0.11815942, u'shoji', 0.090925179, u'window_screen', 0.059243128, u'cash_machine', 0.039487701]
[u'container_ship', 0.085558578, u'shower_curtain', 0.064755104, u'crossword_puzzle', 0.052132893, u'toilet_seat', 0.03862517, u'washbasin', 0.028082419]
[u'container_ship', 0.11145926, u'toilet_seat', 0.039722927, u'combination_lock', 0.031178093, u'coil', 0.028783165, u'switch', 0.022849942]
[u'screw', 0.07694751, u'envelope', 0.062447015, u'matchstick', 0.050736707, u'wall_clock', 0.039910421, u'binder', 0.035092928]
[u'wall_clock', 0.063698918, u'cinema', 0.05176888, u'library', 0.050143063, u'bannister', 0.031410269, u'bookcase', 0.031355184]
[u'tobacco_shop', 0.2015893, u'bookshop', 0.11298601, u'shoe_shop', 0.022843789, u'bakery', 0.018687878, u'cash_machine', 0.01732365]
[u'maze', 0.17641273, u'prayer_rug', 0.03377502, u'vault', 0.029368099, u'crossword_puzzle', 0.02175224, u'shower_curtain', 0.016629254]
[u'library', 0.15773106, u'planetarium', 0.068785667, u'cinema', 0.062907189, u'traffic_light', 0.031415537, u'container_ship', 0.024707783]
[u'sliding_door', 0.10530806, u'shoji', 0.092285648, u'window_shade', 0.076770894, u'theater_curtain', 0.041029066, u'prison', 0.035058293]
[u'fire_screen', 0.089340195, u'toilet_seat', 0.047164157, u'vault', 0.043759648, u'candle', 0.0432401, u'bathtub', 0.04159724]
[u'shower_curtain', 0.093202114, u'window_shade', 0.051517233, u'washbasin', 0.04862339, u'bookshop', 0.038948432, u'library', 0.037663557]
[u'container_ship', 0.13839613, u'crossword_puzzle', 0.031413015, u'library', 0.024604868, u'mosque', 0.020697249, u'toilet_seat', 0.016606599]
[u'digital_clock', 0.054900691, u'prison', 0.042723257, u'cash_machine', 0.03652624, u'window_shade', 0.03625891, u'sliding_door', 0.029275747]
[u'digital_clock', 0.23748641, u'television', 0.068325736, u'sliding_door', 0.059977602, u'cash_machine', 0.057910815, u'maze', 0.038774434]
[u'sliding_door', 0.031124258, u'washbasin', 0.02037533, u'Shetland_sheepdog', 0.019157324, u'wall_clock', 0.016560081, u'shower_curtain', 0.016410992]
[u'Brittany_spaniel', 0.098202623, u'space_shuttle', 0.082151033, u'wire-haired_fox_terrier', 0.046377882, u'English_foxhound', 0.038753238, u'Airedale', 0.032565754]
[u'sliding_door', 0.10662653, u'washbasin', 0.040510003, u'Christmas_stocking', 0.023343841, u'refrigerator', 0.02277977, u'window_screen', 0.022308834]
[u'sliding_door', 0.08465118, u'library', 0.062192079, u'bookcase', 0.055305939, u'cash_machine', 0.052075714, u'vault', 0.044723324]
[u'home_theater', 0.091014408, u'television', 0.08404462, u'window_shade', 0.062537596, u'shoji', 0.061734401, u'sliding_door', 0.060170446]
[u'container_ship', 0.81438893, u'library', 0.042425636, u'carton', 0.028782832, u'crate', 0.010834091, u'forklift', 0.0062270928]
[u'wall_clock', 0.063725293, u'shower_curtain', 0.057782579, u'container_ship', 0.055419985, u'medicine_chest', 0.037314054, u'library', 0.02758562]
[u'washbasin', 0.043856278, u'toilet_seat', 0.037389562, u'dining_table', 0.030898236, u'cash_machine', 0.02813456, u'window_shade', 0.021602375]
[u'planetarium', 0.49470535, u'dome', 0.093460202, u'table_lamp', 0.049195327, u'stupa', 0.031031352, u'Angora', 0.027782204]
[u'vault', 0.060731221, u'library', 0.044469979, u'restaurant', 0.033711616, u'dining_table', 0.028496077, u'bookshop', 0.022491006]
[u'sliding_door', 0.073331632, u'cash_machine', 0.059887104, u'window_shade', 0.042952165, u'traffic_light', 0.040190082, u'digital_clock', 0.037324909]
[u'wall_clock', 0.049058389, u'airship', 0.045542285, u'digital_clock', 0.03980162, u'cinema', 0.020880966, u'rubber_eraser', 0.018704124]
[u'shower_curtain', 0.3908644, u'cash_machine', 0.050550003, u'toilet_seat', 0.030623728, u'space_shuttle', 0.019162634, u'washbasin', 0.016638856]
[u'space_shuttle', 0.063139781, u'traffic_light', 0.028850062, u'digital_clock', 0.019015936, u'restaurant', 0.017087497, u'bookshop', 0.016696358]
[u'matchstick', 0.072117038, u'nematode', 0.051863566, u'digital_clock', 0.03085346, u'lighter', 0.028874667, u'spotlight', 0.026669275]
[u'vault', 0.11453301, u'planetarium', 0.061444353, u'fire_screen', 0.035002071, u'space_shuttle', 0.028964447, u'candle', 0.017537836]
[u'Lhasa', 0.033760909, u'Dandie_Dinmont', 0.02862666, u'otterhound', 0.027667012, u'briard', 0.022430699, u'Border_terrier', 0.022060798]
[u'fire_screen', 0.19706704, u'stove', 0.094699495, u'vault', 0.071319304, u'cash_machine', 0.055258114, u'turnstile', 0.041155204]
[u'digital_clock', 0.14362253, u'scoreboard', 0.13473733, u'crossword_puzzle', 0.06725283, u'analog_clock', 0.031651016, u'container_ship', 0.030761797]
[u'digital_clock', 0.052672364, u'cash_machine', 0.043840487, u'shower_curtain', 0.028265299, u'television', 0.026031254, u'wall_clock', 0.024693469]
[u'space_shuttle', 0.044257302, u'shoe_shop', 0.021440584, u'window_shade', 0.020132616, u'tobacco_shop', 0.019000228, u'sliding_door', 0.018042704]
