[u'jigsaw_puzzle', 0.13883512, u'balloon', 0.070255734, u'honeycomb', 0.050066441, u'dome', 0.047677901, u'picket_fence', 0.042813972]
[u'pill_bottle', 0.12761508, u'water_bottle', 0.079863779, u'bottlecap', 0.051884636, u'apiary', 0.047208376, u'picket_fence', 0.045348682]
[u'jigsaw_puzzle', 0.17473637, u'maze', 0.073850147, u'shower_curtain', 0.070685737, u'prayer_rug', 0.044334982, u'picket_fence', 0.031401727]
[u'jigsaw_puzzle', 0.05754083, u'mitten', 0.057207391, u'wool', 0.055002458, u'stole', 0.040968761, u'Windsor_tie', 0.039220732]
[u'jigsaw_puzzle', 0.1504456, u'container_ship', 0.062254839, u'airship', 0.056371976, u'palace', 0.047906969, u'scoreboard', 0.040685754]
[u'container_ship', 0.13874614, u'scoreboard', 0.071751565, u'balloon', 0.062553056, u'jigsaw_puzzle', 0.03621652, u'parachute', 0.032453611]
[u'picket_fence', 0.11481342, u'balloon', 0.059966359, u'window_screen', 0.030910956, u'mosque', 0.021596879, u'jigsaw_puzzle', 0.01923517]
[u'jigsaw_puzzle', 0.098527707, u'container_ship', 0.058311138, u'shower_curtain', 0.046041675, u'water_bottle', 0.036969602, u'picket_fence', 0.031856634]
[u'scoreboard', 0.37376219, u'balloon', 0.1131246, u'container_ship', 0.044620778, u'airship', 0.020082023, u'traffic_light', 0.018502701]
[u'jigsaw_puzzle', 0.064763598, u'honeycomb', 0.054388806, u'solar_dish', 0.042167969, u'pill_bottle', 0.04048565, u'picket_fence', 0.038826097]
[u'container_ship', 0.077489935, u'jigsaw_puzzle', 0.069165818, u'scoreboard', 0.049759917, u'balloon', 0.03468401, u'prayer_rug', 0.017707672]
[u'airship', 0.29039332, u'balloon', 0.085461989, u'fireboat', 0.047223564, u'mosque', 0.041093957, u'space_shuttle', 0.037435353]
[u'container_ship', 0.077489935, u'jigsaw_puzzle', 0.069165818, u'scoreboard', 0.049759917, u'balloon', 0.03468401, u'prayer_rug', 0.017707672]
[u'shower_curtain', 0.12762558, u'prayer_rug', 0.12742043, u'jigsaw_puzzle', 0.059857368, u'Windsor_tie', 0.034172606, u'scoreboard', 0.02923749]
[u'jigsaw_puzzle', 0.11128663, u'container_ship', 0.065573283, u'balloon', 0.051428583, u'pill_bottle', 0.049824502, u'dome', 0.030684453]
[u'container_ship', 0.11703983, u'balloon', 0.094436042, u'jigsaw_puzzle', 0.049158428, u'scoreboard', 0.045672733, u'parachute', 0.016043052]
[u'mitten', 0.055965327, u'wool', 0.053342123, u'container_ship', 0.051553104, u'scoreboard', 0.049258105, u'jigsaw_puzzle', 0.049136236]
[u'prayer_rug', 0.11241039, u'container_ship', 0.082776107, u'jigsaw_puzzle', 0.082284972, u'wool', 0.060571067, u'maze', 0.038226783]
[u'shower_curtain', 0.21862534, u'wool', 0.10470818, u'mitten', 0.043493666, u'jigsaw_puzzle', 0.035730913, u'stole', 0.030341372]
[u'dome', 0.1764407, u'mosque', 0.1263774, u'balloon', 0.10434353, u'airship', 0.043886948, u'window_screen', 0.025069712]
[u'airship', 0.47409895, u'balloon', 0.074545026, u'mosque', 0.06842766, u'dome', 0.026250472, u'obelisk', 0.024866547]
[u'container_ship', 0.069211386, u'jigsaw_puzzle', 0.064364277, u'wool', 0.043385752, u'balloon', 0.040590152, u'Windsor_tie', 0.040314898]
[u'jigsaw_puzzle', 0.13164401, u'prayer_rug', 0.044403784, u'shower_curtain', 0.043022566, u'window_screen', 0.033262353, u'wool', 0.03221995]
[u'scoreboard', 0.049887937, u'honeycomb', 0.046521407, u'picket_fence', 0.035623971, u'jigsaw_puzzle', 0.034717165, u'apiary', 0.031738929]
[u'picket_fence', 0.092798494, u'dome', 0.033455264, u'apiary', 0.030653484, u'honeycomb', 0.029014649, u'container_ship', 0.025045201]
[u'container_ship', 0.077489935, u'jigsaw_puzzle', 0.069165818, u'scoreboard', 0.049759917, u'balloon', 0.03468401, u'prayer_rug', 0.017707672]
[u'scoreboard', 0.091346867, u'container_ship', 0.05863763, u'balloon', 0.046932764, u'wool', 0.044421725, u'prayer_rug', 0.032502156]
