[u'brassiere', 0.96158051, u'bikini', 0.032031503, u'sandal', 0.0021102964, u'maillot', 0.0010488272, u'maillot', 0.00091051328]
[u'balance_beam', 0.3160409, u'bikini', 0.15572502, u'swimming_trunks', 0.12364472, u'dumbbell', 0.042955682, u'maillot', 0.04039995]
[u'dumbbell', 0.51193774, u'maillot', 0.1005797, u'maillot', 0.096237317, u'pole', 0.040975586, u'swimming_trunks', 0.035440251]
[u'racket', 0.2437658, u'maillot', 0.10434841, u'maillot', 0.076322027, u'bathing_cap', 0.06615334, u'volleyball', 0.062688597]
[u'bikini', 0.64498359, u'maillot', 0.1245141, u'maillot', 0.10764848, u'swimming_trunks', 0.061208755, u'bathing_cap', 0.015762912]
[u'balance_beam', 0.23400624, u'stupa', 0.13828401, u'totem_pole', 0.10752072, u'crane', 0.051245123, u'space_shuttle', 0.050500177]
[u'bathtub', 0.54617685, u'tub', 0.21066052, u'brassiere', 0.10821549, u'maillot', 0.04224379, u'bikini', 0.03619504]
[u'comic_book', 0.69829094, u'banjo', 0.081402645, u'toilet_seat', 0.017106604, u'racket', 0.015521246, u'book_jacket', 0.012613395]
[u'four-poster', 0.1625872, u'balance_beam', 0.076231651, u'wardrobe', 0.069316141, u'studio_couch', 0.051789418, u'maillot', 0.041932289]
[u'miniskirt', 0.29557827, u'bikini', 0.20195286, u'comic_book', 0.086873665, u'brassiere', 0.084067091, u'maillot', 0.064450331]
[u'boxer', 0.15476787, u'whippet', 0.11471914, u'Great_Dane', 0.097722463, u'Italian_greyhound', 0.067990787, u'Ibizan_hound', 0.04596803]
[u'carton', 0.079465434, u'apron', 0.04938902, u'lab_coat', 0.047170788, u'hair_spray', 0.043456722, u'groom', 0.042343423]
[u'swimming_trunks', 0.30839035, u'bikini', 0.26650631, u'sunscreen', 0.082262486, u'maillot', 0.071902476, u'bathing_cap', 0.050885305]
[u'comic_book', 0.59875816, u'bikini', 0.14504741, u'book_jacket', 0.12200724, u'maillot', 0.042361908, u'brassiere', 0.035874784]
[u'punching_bag', 0.22394909, u'comic_book', 0.11344459, u'maillot', 0.077158831, u'brassiere', 0.069460273, u'maraca', 0.055528693]
[u'maillot', 0.26552224, u'bikini', 0.24479398, u'maillot', 0.1190914, u'maraca', 0.048485689, u'Band_Aid', 0.034080483]
[u'tub', 0.10981468, u'bikini', 0.057926908, u'brassiere', 0.056606352, u'bathtub', 0.050552271, u'miniskirt', 0.049355194]
[u'bikini', 0.76914448, u'swimming_trunks', 0.031031156, u'pole', 0.025746323, u'maillot', 0.021255117, u'maillot', 0.0182236]
[u'bikini', 0.29974636, u'prison', 0.1870165, u'swimming_trunks', 0.1583415, u'brassiere', 0.11009052, u'pole', 0.0714055]
[u'comic_book', 0.45074666, u'tray', 0.056861971, u'jersey', 0.050273057, u'basketball', 0.03593434, u'laptop', 0.035888828]
