[u'tub', 0.40767327, u'bikini', 0.16592494, u'groom', 0.12906149, u'diaper', 0.052528486, u'sunscreen', 0.037534904]
[u'Band_Aid', 0.8658008, u'bathtub', 0.029606614, u'tub', 0.018495727, u'sandal', 0.017221754, u'bikini', 0.014659859]
[u'swimming_trunks', 0.40693411, u'bikini', 0.16727018, u'sunscreen', 0.065052077, u'bathtub', 0.051239889, u'tub', 0.051046737]
[u'limousine', 0.36217511, u'miniskirt', 0.17371204, u'maillot', 0.050716281, u'bikini', 0.035918906, u'studio_couch', 0.03415703]
[u'bow_tie', 0.28675598, u'brassiere', 0.11862507, u'maillot', 0.078516647, u'miniskirt', 0.076829694, u'bikini', 0.054874878]
[u'bikini', 0.38657579, u'brassiere', 0.29386565, u'maillot', 0.18204524, u'miniskirt', 0.067584462, u'maillot', 0.021545842]
[u'sandal', 0.51388448, u'bikini', 0.3069042, u'maillot', 0.071406275, u'miniskirt', 0.043717265, u'brassiere', 0.018821381]
[u'tub', 0.64658922, u'bathtub', 0.13636625, u'bikini', 0.12946789, u'bathing_cap', 0.012562341, u'maillot', 0.0060956054]
[u'Indian_cobra', 0.45497411, u'maillot', 0.17246075, u'hognose_snake', 0.054630667, u'night_snake', 0.044441324, u'king_snake', 0.040914685]
[u'diaper', 0.22396114, u'bikini', 0.16885607, u'brassiere', 0.16676012, u'maillot', 0.073545992, u'swimming_trunks', 0.072997458]
[u'bikini', 0.84238762, u'brassiere', 0.061276264, u'sunscreen', 0.030080043, u'maillot', 0.028993342, u'bathing_cap', 0.0075072194]
[u'bikini', 0.35416108, u'maillot', 0.21990865, u'brassiere', 0.098740555, u'maillot', 0.074963927, u'miniskirt', 0.062397774]
[u'brassiere', 0.56453103, u'bikini', 0.22881666, u'maillot', 0.094606131, u'gown', 0.024417911, u'maillot', 0.019637357]
[u'miniskirt', 0.44078052, u'overskirt', 0.12757199, u'hoopskirt', 0.095593758, u'cloak', 0.066846415, u'gown', 0.049408715]
[u'bikini', 0.58928114, u'brassiere', 0.23343167, u'maillot', 0.094328508, u'diaper', 0.016081138, u'tub', 0.015428516]
[u'brassiere', 0.75108951, u'tub', 0.062283751, u'diaper', 0.044559758, u'maillot', 0.03027595, u'bathtub', 0.017427484]
[u'brassiere', 0.38903046, u'bikini', 0.16109654, u'maillot', 0.089377984, u'hoopskirt', 0.055420104, u'miniskirt', 0.038879808]
[u'gown', 0.16812339, u'bath_towel', 0.11365767, u'brassiere', 0.10129034, u'maillot', 0.073700972, u'bathtub', 0.057906508]
[u'bikini', 0.84235007, u'maillot', 0.058803745, u'brassiere', 0.050357167, u'volleyball', 0.012309793, u'maillot', 0.0083392449]
[u'bikini', 0.32777521, u'brassiere', 0.27409011, u'miniskirt', 0.1654578, u'maillot', 0.082306504, u'maillot', 0.013144453]
[u'studio_couch', 0.40177751, u'tub', 0.13092211, u'bathtub', 0.088282041, u'toilet_tissue', 0.033423126, u'miniskirt', 0.018030155]
[u'maillot', 0.34075552, u'bikini', 0.18244043, u'miniskirt', 0.16305982, u'sandal', 0.13850208, u'brassiere', 0.025331821]
[u'necklace', 0.27979767, u'bikini', 0.14008607, u'sunscreen', 0.087092988, u'lipstick', 0.062031943, u'brassiere', 0.041130669]
[u'miniskirt', 0.38668242, u'maillot', 0.3142525, u'maillot', 0.090109922, u'theater_curtain', 0.05286257, u'pajama', 0.043305241]
[u'bathtub', 0.56782186, u'tub', 0.17806257, u'sunscreen', 0.1328965, u'swimming_trunks', 0.023920968, u'bathing_cap', 0.01826866]
[u'eggnog', 0.16626321, u'perfume', 0.074252769, u'red_wine', 0.053904198, u'trifle', 0.045999192, u'ice_cream', 0.044253193]
[u'bikini', 0.12628782, u'miniskirt', 0.10949016, u'maillot', 0.07897947, u'sunscreen', 0.067285351, u'swimming_trunks', 0.066461891]
[u'bikini', 0.37337074, u'diaper', 0.25998795, u'hog', 0.060023423, u'sunscreen', 0.05801326, u'tub', 0.040085666]
[u'digital_clock', 0.12291377, u'digital_watch', 0.10120413, u'wall_clock', 0.092426792, u'Windsor_tie', 0.054405168, u'analog_clock', 0.051263548]
[u'bathtub', 0.48392358, u'tub', 0.47782889, u'bath_towel', 0.015861206, u'diaper', 0.0057757772, u'bikini', 0.0016483932]
[u'brassiere', 0.55331874, u'maillot', 0.2101277, u'bikini', 0.10841418, u'miniskirt', 0.041597012, u'maillot', 0.036403559]
[u'swimming_trunks', 0.34223232, u'bikini', 0.15363136, u'diaper', 0.14335239, u'maillot', 0.046047512, u'sunscreen', 0.025188176]
[u'bikini', 0.74555665, u'brassiere', 0.069291972, u'maillot', 0.062944546, u'miniskirt', 0.027197849, u'fur_coat', 0.010555607]
[u'bikini', 0.26735809, u'tub', 0.25037098, u'brassiere', 0.19607605, u'bathtub', 0.07781136, u'diaper', 0.041794963]
[u'gown', 0.30122495, u'brassiere', 0.19503447, u'hoopskirt', 0.12605782, u'bikini', 0.12221731, u'maillot', 0.089592524]
[u'bikini', 0.12686287, u'sunscreen', 0.11378065, u'brassiere', 0.081534073, u'perfume', 0.04899732, u'lotion', 0.044407647]
[u'sandal', 0.48048633, u'bikini', 0.15627934, u'brassiere', 0.097737633, u'necklace', 0.042741269, u'maillot', 0.01797263]
[u'maillot', 0.41765523, u'bathtub', 0.13767621, u'tub', 0.13748819, u'bikini', 0.13017578, u'maillot', 0.10848872]
[u'dumbbell', 0.243332, u'punching_bag', 0.23637709, u'lumbermill', 0.19447002, u'barbell', 0.11241127, u'parallel_bars', 0.055752471]
[u'parachute', 0.113863, u'warplane', 0.052188605, u'airship', 0.046693087, u'envelope', 0.042565048, u'crane', 0.028553093]
[u'bathtub', 0.60813844, u'tub', 0.28122705, u'bikini', 0.040293615, u'lotion', 0.0077165077, u'swimming_trunks', 0.0063749319]
[u'bikini', 0.17188203, u'brassiere', 0.11971318, u'harp', 0.084837653, u'studio_couch', 0.057207499, u'maillot', 0.041138265]
[u'bikini', 0.31785533, u'necklace', 0.16265875, u'lipstick', 0.15462574, u'ice_lolly', 0.096484765, u'wig', 0.069725864]
