[u'window_screen', 0.045142215, u'spotlight', 0.038107965, u'window_shade', 0.035910834, u'prison', 0.028939715, u'turnstile', 0.021989515]
[u'Christmas_stocking', 0.060792837, u'traffic_light', 0.025201632, u'shower_curtain', 0.017462229, u'tobacco_shop', 0.015222161, u'sock', 0.014357371]
[u'vault', 0.20319691, u'bell_cote', 0.10951056, u'altar', 0.07236091, u'triumphal_arch', 0.059614744, u'space_shuttle', 0.05148821]
[u'traffic_light', 0.067581445, u'spotlight', 0.042192169, u'cash_machine', 0.041564371, u'sliding_door', 0.039383572, u'medicine_chest', 0.031855062]
[u'bikini', 0.39156637, u'seashore', 0.24662784, u'sandbar', 0.17549883, u'maillot', 0.094655193, u'swimming_trunks', 0.034311801]
[u'shower_curtain', 0.085689873, u'washbasin', 0.029211663, u'bathtub', 0.028639488, u'window_shade', 0.028609009, u'sliding_door', 0.027516268]
[u'Christmas_stocking', 0.037269276, u'wall_clock', 0.03554184, u'cash_machine', 0.033775616, u'fire_screen', 0.022136843, u'window_shade', 0.021091308]
[u'window_shade', 0.098252773, u'sliding_door', 0.081567869, u'window_screen', 0.068901531, u'turnstile', 0.057481769, u'traffic_light', 0.024722084]
[u'window_shade', 0.060882803, u'Christmas_stocking', 0.048510734, u'bannister', 0.035724264, u'library', 0.03478343, u'dining_table', 0.029719684]
[u'container_ship', 0.14876586, u'balloon', 0.091551267, u'crane', 0.061467044, u'solar_dish', 0.040347591, u'Windsor_tie', 0.036199454]
[u'library', 0.25438979, u'container_ship', 0.18550561, u'tobacco_shop', 0.029898742, u'bookshop', 0.02737991, u'scoreboard', 0.024044015]
[u'carton', 0.42302099, u'container_ship', 0.10777122, u'crane', 0.06224253, u'crate', 0.02611172, u'space_shuttle', 0.018890247]
[u'container_ship', 0.93968672, u'scoreboard', 0.015503145, u'airship', 0.0032443514, u'dock', 0.002831168, u'library', 0.0027279223]
[u'home_theater', 0.16249853, u'cinema', 0.064986646, u'entertainment_center', 0.064536095, u'photocopier', 0.050235391, u'bookcase', 0.050156999]
[u'matchstick', 0.076208062, u'nematode', 0.04769811, u'lighter', 0.030722424, u'digital_clock', 0.029044192, u'spotlight', 0.023671744]
[u'picket_fence', 0.10098086, u'library', 0.082811795, u'shower_curtain', 0.035714187, u'mosque', 0.031070836, u'maze', 0.026641903]
[u'digital_clock', 0.046977796, u'television', 0.031809907, u'spotlight', 0.03011414, u'space_shuttle', 0.028570233, u'monitor', 0.02617782]
[u'bannister', 0.21413167, u'window_shade', 0.17439756, u'organ', 0.074665882, u'prison', 0.051160496, u'library', 0.049656395]
[u'window_screen', 0.040210791, u'fire_screen', 0.013977595, u'monitor', 0.01302648, u'television', 0.012308961, u'schipperke', 0.012071468]
[u'Windsor_tie', 0.05788371, u'window_shade', 0.055769093, u'shower_curtain', 0.052041683, u'window_screen', 0.02297603, u'Christmas_stocking', 0.021908445]
[u'shower_curtain', 0.13622634, u'sliding_door', 0.035958882, u'library', 0.02803662, u'prayer_rug', 0.024959126, u'container_ship', 0.022750111]
[u'shower_curtain', 0.034872264, u'prayer_rug', 0.029512925, u'Christmas_stocking', 0.028008681, u'library', 0.027938001, u'stole', 0.024946706]
[u'whistle', 0.19856529, u'carton', 0.045728326, u'envelope', 0.036251321, u'Windsor_tie', 0.032427881, u'wall_clock', 0.029972987]
[u'bookshop', 0.060404237, u'medicine_chest', 0.044139761, u'cash_machine', 0.040673286, u'tobacco_shop', 0.036028519, u'shower_curtain', 0.035356574]
[u'screw', 0.07694751, u'envelope', 0.062447015, u'matchstick', 0.050736707, u'wall_clock', 0.039910421, u'binder', 0.035092928]
[u'punching_bag', 0.053556759, u'toilet_seat', 0.050359227, u'vault', 0.046984032, u'hand_blower', 0.026516993, u'washbasin', 0.025401773]
[u'wall_clock', 0.047949377, u'bell_cote', 0.040526584, u'coil', 0.03491227, u'analog_clock', 0.031113643, u'dome', 0.026734527]
[u'sliding_door', 0.18880409, u'window_shade', 0.08035028, u'shoji', 0.061891247, u'dining_table', 0.036068391, u'window_screen', 0.032971382]
[u'crossword_puzzle', 0.29440746, u'jigsaw_puzzle', 0.053452924, u'shower_curtain', 0.022377459, u'digital_clock', 0.019531514, u'wall_clock', 0.019392256]
[u'window_shade', 0.1282244, u'washbasin', 0.10438741, u'spotlight', 0.058112677, u'candle', 0.053163707, u'bathtub', 0.05113155]
[u'container_ship', 0.83959711, u'library', 0.024039436, u'theater_curtain', 0.017684573, u'scoreboard', 0.015283806, u'bookcase', 0.0063793822]
[u'container_ship', 0.95390046, u'tobacco_shop', 0.0064613447, u'library', 0.00448605, u'scoreboard', 0.0040045148, u'crane', 0.0031096416]
[u'Old_English_sheepdog', 0.05057551, u'window_screen', 0.047061894, u'Siberian_husky', 0.030292146, u'malamute', 0.023140287, u'Samoyed', 0.020691134]
[u'crossword_puzzle', 0.12863968, u'picket_fence', 0.089348748, u'digital_clock', 0.049446676, u'analog_clock', 0.030792924, u'wall_clock', 0.023152614]
[u'window_screen', 0.072486192, u'space_shuttle', 0.034732603, u'missile', 0.011216525, u'shower_curtain', 0.010357214, u'sea_cucumber', 0.0096622193]
[u'lampshade', 0.06685137, u'spotlight', 0.059680879, u'stove', 0.041712057, u'table_lamp', 0.0366938, u'shoji', 0.026997261]
[u'Windsor_tie', 0.1741064, u'wool', 0.070988543, u'stole', 0.054206658, u'container_ship', 0.024477948, u'sock', 0.017628206]
[u'prison', 0.064661153, u'sliding_door', 0.046653256, u'window_shade', 0.041436646, u'turnstile', 0.039252255, u'cash_machine', 0.03160318]
[u'sliding_door', 0.1227902, u'washbasin', 0.054198481, u'medicine_chest', 0.046428099, u'fire_screen', 0.039347216, u'cash_machine', 0.037510231]
[u'sliding_door', 0.41801116, u'window_shade', 0.12614733, u'window_screen', 0.11184968, u'cash_machine', 0.025284322, u'barbershop', 0.023417976]
[u'digital_clock', 0.082801864, u'crossword_puzzle', 0.027512923, u'scoreboard', 0.025632812, u'wall_clock', 0.020633847, u'container_ship', 0.018744335]
[u'maze', 0.15387203, u'bannister', 0.061256107, u'king_snake', 0.053387068, u'vault', 0.037528332, u'coil', 0.032588117]
[u'theater_curtain', 0.098664239, u'lampshade', 0.07404159, u'home_theater', 0.073278189, u'spotlight', 0.072873771, u'stove', 0.053159468]
[u'shower_curtain', 0.048689071, u'space_shuttle', 0.038558695, u'monitor', 0.029488061, u'sliding_door', 0.024483534, u'safe', 0.019119319]
[u'space_shuttle', 0.18896091, u'missile', 0.043315664, u'fire_screen', 0.036358371, u'projectile', 0.031021476, u'window_screen', 0.013626263]
[u'bikini', 0.67000854, u'maillot', 0.16757883, u'maillot', 0.082429871, u'brassiere', 0.022148849, u'tub', 0.015130053]
[u'candle', 0.09556365, u'mosquito_net', 0.078366712, u'carton', 0.045049362, u'dining_table', 0.035149131, u'shower_curtain', 0.033465471]
[u'container_ship', 0.33745566, u'Christmas_stocking', 0.03949143, u'stole', 0.023518939, u'dining_table', 0.021355798, u'shower_curtain', 0.016654911]
[u'container_ship', 0.12033898, u'library', 0.060761817, u'tobacco_shop', 0.03147684, u'maze', 0.026060199, u'carton', 0.019508418]
[u'bookshop', 0.077605128, u'tobacco_shop', 0.049632289, u'cinema', 0.043346006, u'cash_machine', 0.0409263, u'sliding_door', 0.03527933]
[u'torch', 0.048903313, u'bannister', 0.039153405, u'window_shade', 0.03599697, u'quill', 0.028977929, u'mosquito_net', 0.028430689]
[u'shower_curtain', 0.12545365, u'library', 0.040257018, u'sliding_door', 0.029484365, u'maze', 0.026020097, u'container_ship', 0.025385836]
[u'digital_clock', 0.39869151, u'wall_clock', 0.029840969, u'digital_watch', 0.02820115, u'traffic_light', 0.014823473, u'window_screen', 0.012985154]
[u'shower_curtain', 0.058531787, u'container_ship', 0.031246498, u'traffic_light', 0.023304561, u'sock', 0.021904858, u'monitor', 0.019951619]
[u'space_shuttle', 0.076127581, u'Christmas_stocking', 0.068452254, u'jigsaw_puzzle', 0.031897146, u'prayer_rug', 0.028639248, u'handkerchief', 0.027181195]
[u'window_shade', 0.17023896, u'prison', 0.16986579, u'vault', 0.054719914, u'sliding_door', 0.047949027, u'window_screen', 0.047449555]
[u'spotlight', 0.17794603, u'window_shade', 0.11591665, u'lampshade', 0.10889979, u'candle', 0.068054684, u'window_screen', 0.061708644]
[u'digital_clock', 0.2696538, u'digital_watch', 0.1059842, u'maze', 0.084448189, u'wall_clock', 0.075334772, u'analog_clock', 0.071797796]
[u'container_ship', 0.68197662, u'crossword_puzzle', 0.01635405, u'scoreboard', 0.01566398, u'library', 0.01166577, u'shower_curtain', 0.010527096]
[u'container_ship', 0.86608106, u'Windsor_tie', 0.011432721, u'maze', 0.0096416371, u'scoreboard', 0.0054445905, u'jigsaw_puzzle', 0.0053078537]
[u'container_ship', 0.11793863, u'jigsaw_puzzle', 0.033675008, u'Windsor_tie', 0.032617684, u'Petri_dish', 0.029474158, u'switch', 0.019290371]
[u'space_shuttle', 0.082764074, u'window_shade', 0.055787597, u'window_screen', 0.04393775, u'prison', 0.042587228, u'bannister', 0.033882581]
[u'shower_curtain', 0.217711, u'wardrobe', 0.13972186, u'window_shade', 0.12156554, u'sliding_door', 0.11128108, u'washbasin', 0.053300019]
[u'cash_machine', 0.052254491, u'Christmas_stocking', 0.048992626, u'space_shuttle', 0.037133064, u'traffic_light', 0.030304596, u'turnstile', 0.028851343]
[u'window_screen', 0.18653432, u'window_shade', 0.074801743, u'sliding_door', 0.037203666, u'prison', 0.025141664, u'shoji', 0.02405801]
[u'great_white_shark', 0.79043341, u'tiger_shark', 0.15819225, u'stingray', 0.014748998, u'electric_ray', 0.012522077, u'dugong', 0.011995815]
[u'paintbrush', 0.20565383, u'stethoscope', 0.19002049, u'screwdriver', 0.098636813, u'lipstick', 0.076343492, u'hammer', 0.054588653]
[u'container_ship', 0.39863679, u'balloon', 0.028851772, u'pedestal', 0.026979016, u'airship', 0.025157861, u'library', 0.024702776]
[u'container_ship', 0.1231516, u'balloon', 0.10437059, u'table_lamp', 0.033065438, u'lampshade', 0.031030171, u'stole', 0.030733922]
[u'Christmas_stocking', 0.069644138, u'library', 0.061924912, u'bookshop', 0.051590241, u'grand_piano', 0.046508711, u'wall_clock', 0.030486265]
[u'Windsor_tie', 0.13476154, u'shower_curtain', 0.11218375, u'container_ship', 0.10798838, u'stole', 0.051510047, u'wall_clock', 0.03357394]
[u'window_screen', 0.10142674, u'window_shade', 0.034922548, u'crossword_puzzle', 0.026589431, u'wall_clock', 0.024960423, u'sliding_door', 0.022943502]
[u'washbasin', 0.075378112, u'shower_curtain', 0.062107585, u'toilet_seat', 0.058671735, u'stove', 0.045877773, u'cash_machine', 0.042410359]
[u'sliding_door', 0.16532302, u'window_screen', 0.09377645, u'window_shade', 0.06975513, u'turnstile', 0.034647904, u'cash_machine', 0.031974547]
[u'shower_curtain', 0.04225374, u'container_ship', 0.038246755, u'prayer_rug', 0.028484389, u'altar', 0.020158738, u'Christmas_stocking', 0.019779487]
[u'shower_curtain', 0.3572138, u'Christmas_stocking', 0.036796559, u'medicine_chest', 0.027568299, u'washbasin', 0.024137102, u'wall_clock', 0.022890337]
[u'shower_curtain', 0.070278637, u'medicine_chest', 0.05520691, u'candle', 0.044079289, u'crib', 0.037968785, u'carton', 0.035361867]
[u'window_shade', 0.18220817, u'window_screen', 0.085181952, u'spotlight', 0.046916675, u'sliding_door', 0.043309014, u'cash_machine', 0.031515084]
