[u'sliding_door', 0.42876145, u'medicine_chest', 0.084336117, u'cash_machine', 0.041244578, u'window_screen', 0.0360393, u'window_shade', 0.034141865]
[u'library', 0.073303923, u'bannister', 0.040374201, u'window_shade', 0.039182894, u'dining_table', 0.032871529, u'digital_clock', 0.025587814]
[u'shower_curtain', 0.49655598, u'envelope', 0.028231198, u'pillow', 0.027994048, u'toilet_tissue', 0.021775045, u'paper_towel', 0.021561325]
[u'window_screen', 0.099766858, u'shower_curtain', 0.021773838, u'tobacco_shop', 0.016963014, u'turnstile', 0.013749491, u'German_shepherd', 0.011794656]
[u'Windsor_tie', 0.070716843, u'container_ship', 0.05906174, u'crossword_puzzle', 0.052345242, u'tray', 0.034963667, u'toilet_seat', 0.031529695]
[u'space_shuttle', 0.073828585, u'dome', 0.053995967, u'planetarium', 0.053457439, u'American_egret', 0.045572549, u'window_screen', 0.043169156]
[u'crossword_puzzle', 0.034073595, u'container_ship', 0.032794312, u'prayer_rug', 0.02644843, u'shower_curtain', 0.024402339, u'maze', 0.019312721]
[u'dining_table', 0.050764628, u'library', 0.047394659, u'maze', 0.041060746, u'carton', 0.03806169, u'cash_machine', 0.028476253]
[u'shower_curtain', 0.087428831, u'window_screen', 0.026104365, u'measuring_cup', 0.024150662, u'whistle', 0.023204012, u'beaker', 0.017461181]
[u'analog_clock', 0.054408513, u'monitor', 0.052562095, u'spotlight', 0.050475158, u'traffic_light', 0.048112839, u'obelisk', 0.047566734]
[u'window_shade', 0.068936534, u'sliding_door', 0.051657945, u'digital_clock', 0.042982448, u'cash_machine', 0.035597846, u'scoreboard', 0.033821084]
[u'shower_curtain', 0.22429079, u'window_screen', 0.036464293, u'prayer_rug', 0.021604719, u'Windsor_tie', 0.019636869, u'window_shade', 0.018697362]
[u'monitor', 0.47221333, u'container_ship', 0.090794049, u'safe', 0.065613717, u'crane', 0.025354147, u'carton', 0.019462321]
[u'library', 0.078904115, u'sliding_door', 0.062248606, u'bookshop', 0.055865232, u'bookcase', 0.054564562, u'medicine_chest', 0.030597758]
[u'bannister', 0.04563573, u'sliding_door', 0.042533141, u'prison', 0.025891289, u'window_screen', 0.019334583, u'cash_machine', 0.017997252]
