[u'brassiere', 0.3534084, u'bikini', 0.32127392, u'diaper', 0.096037909, u'maillot', 0.07423415, u'miniskirt', 0.070655189]
[u'miniskirt', 0.5813756, u'bikini', 0.042977322, u'maillot', 0.028300174, u'sandal', 0.024981366, u'maillot', 0.019993059]
[u'miniskirt', 0.21981753, u'brassiere', 0.14843841, u'jean', 0.11605641, u'tub', 0.10017768, u'swimming_trunks', 0.083670214]
[u'maillot', 0.29647109, u'bikini', 0.21145827, u'maillot', 0.15112543, u'gown', 0.056470718, u'swimming_trunks', 0.046385698]
[u'feather_boa', 0.20227171, u'bikini', 0.059461199, u'kimono', 0.047728863, u'lotion', 0.046861626, u'gown', 0.041725345]
[u'bikini', 0.38832229, u'maillot', 0.27098513, u'maillot', 0.14076971, u'brassiere', 0.053108126, u'miniskirt', 0.040173154]
[u'miniskirt', 0.2574476, u'maillot', 0.13934319, u'brassiere', 0.1329097, u'bikini', 0.11993384, u'maillot', 0.064500093]
[u'tub', 0.59830737, u'bathtub', 0.35761335, u'bath_towel', 0.01926847, u'studio_couch', 0.011571974, u'maillot', 0.0054386542]
[u'maillot', 0.3685793, u'bikini', 0.24319752, u'maillot', 0.19688293, u'sarong', 0.063885681, u'miniskirt', 0.054342952]
[u'wig', 0.4506816, u'bonnet', 0.29573986, u'bow_tie', 0.066010326, u'ice_lolly', 0.023184337, u'seat_belt', 0.012546811]
[u'miniskirt', 0.91803348, u'racket', 0.025182234, u'neck_brace', 0.0098827733, u'Loafer', 0.0085172243, u'unicycle', 0.0053229788]
[u'tub', 0.24019784, u'bathtub', 0.15644003, u'maillot', 0.11809457, u'maillot', 0.11372694, u'swimming_trunks', 0.057921804]
[u'miniskirt', 0.13295305, u'bikini', 0.10466396, u'maillot', 0.089852542, u'maillot', 0.053815875, u'brassiere', 0.05060941]
[u'sarong', 0.29932043, u'swimming_trunks', 0.28231889, u'bikini', 0.18765144, u'maillot', 0.060264081, u'maillot', 0.044346031]
[u'brassiere', 0.23119469, u'bikini', 0.12487228, u'piggy_bank', 0.10200267, u'maillot', 0.045527928, u'sunglass', 0.031845119]
[u'brassiere', 0.20421253, u'diaper', 0.16200425, u'Band_Aid', 0.054076035, u'sunscreen', 0.047238655, u'bikini', 0.036868881]
[u'miniskirt', 0.50324106, u'dumbbell', 0.090293467, u'brassiere', 0.049840067, u'cowboy_boot', 0.042232931, u'maillot', 0.037046716]
[u'miniskirt', 0.34837496, u'maillot', 0.29385504, u'maillot', 0.17243706, u'studio_couch', 0.049566768, u'bikini', 0.011889162]
[u'swimming_trunks', 0.44425568, u'bikini', 0.13420087, u'tub', 0.071914807, u'diaper', 0.031874254, u'brassiere', 0.027283004]
[u'bikini', 0.33941397, u'swimming_trunks', 0.27903247, u'sunscreen', 0.073973343, u'sarong', 0.069337942, u'diaper', 0.03733648]
[u'brassiere', 0.51204407, u'maillot', 0.089465693, u'tub', 0.088618569, u'bath_towel', 0.053956389, u'bathtub', 0.039570209]
[u'bikini', 0.40019622, u'harmonica', 0.17492901, u'flute', 0.038184803, u'oxygen_mask', 0.035744749, u'maillot', 0.03311497]
[u'bikini', 0.4090955, u'swimming_trunks', 0.34157485, u'seashore', 0.035738762, u'maillot', 0.034358755, u'sarong', 0.032375932]
[u'miniskirt', 0.46061632, u'maillot', 0.1791663, u'bikini', 0.087662183, u'maillot', 0.087142475, u'brassiere', 0.027402012]
[u'diaper', 0.32013717, u'miniskirt', 0.11381548, u'swimming_trunks', 0.10497099, u'tub', 0.051070154, u'brassiere', 0.036937155]
[u'hair_spray', 0.10846306, u'barbershop', 0.049881753, u'sunscreen', 0.044001963, u'mortarboard', 0.039886054, u'bonnet', 0.032403808]
[u'miniskirt', 0.15075944, u'grand_piano', 0.08015988, u'toilet_seat', 0.062403578, u'barber_chair', 0.060465161, u'rocking_chair', 0.048757005]
[u'bikini', 0.34915465, u'swimming_trunks', 0.25165147, u'sarong', 0.060437664, u'maillot', 0.058357444, u'maillot', 0.050524127]
[u'miniskirt', 0.20043826, u'studio_couch', 0.052450959, u'notebook', 0.050972633, u'crossword_puzzle', 0.048227575, u'pajama', 0.045851357]
[u'poncho', 0.35207298, u'stole', 0.30719569, u'sarong', 0.09538731, u'gown', 0.075933374, u'overskirt', 0.034518674]
[u'swing', 0.35887572, u'bonnet', 0.26520169, u'wig', 0.096942335, u'carousel', 0.039333489, u'feather_boa', 0.018002413]
[u'seat_belt', 0.70908076, u'drumstick', 0.01664288, u'spatula', 0.01643292, u'whistle', 0.011521311, u'syringe', 0.0099393344]
[u'tub', 0.52889007, u'bathtub', 0.44144928, u'bath_towel', 0.011385337, u'washbasin', 0.0048512025, u'shower_curtain', 0.0025992629]
