[u'sunscreen', 0.18806978, u'lipstick', 0.12937266, u'ice_lolly', 0.1243178, u'Band_Aid', 0.10850525, u'bathing_cap', 0.10531503]
[u'panpipe', 0.21774611, u'fur_coat', 0.10196206, u'gown', 0.036877763, u'butcher_shop', 0.030498041, u'bikini', 0.027039604]
[u'gown', 0.1337415, u'bikini', 0.12031438, u'wig', 0.058987092, u'feather_boa', 0.055409178, u'maillot', 0.049973167]
[u'tub', 0.33393162, u'bath_towel', 0.31580663, u'bathtub', 0.13557011, u'diaper', 0.056048788, u'brassiere', 0.047010172]
[u'butternut_squash', 0.16632296, u'bikini', 0.12525141, u'sunscreen', 0.057759482, u'brassiere', 0.056777142, u'bath_towel', 0.04918962]
[u'bikini', 0.5259878, u'tub', 0.13377079, u'bathtub', 0.10261934, u'brassiere', 0.090702482, u'maillot', 0.033694357]
[u'bikini', 0.22525062, u'tub', 0.16578697, u'bathtub', 0.10661426, u'swimming_trunks', 0.054847278, u'fur_coat', 0.045228705]
[u'swimming_trunks', 0.56769377, u'bathing_cap', 0.17978124, u'bikini', 0.11656293, u'diaper', 0.052335594, u'sunscreen', 0.025887128]
[u'bikini', 0.3766169, u'tub', 0.18336138, u'bathtub', 0.1743916, u'maillot', 0.17194976, u'maillot', 0.024075119]
[u'bikini', 0.32220078, u'brassiere', 0.1711383, u'sunglass', 0.07126157, u'lipstick', 0.063138589, u'sunglasses', 0.056417286]
[u'bikini', 0.14538351, u'sunscreen', 0.12190127, u'bath_towel', 0.086794488, u'hair_spray', 0.063673519, u'brassiere', 0.062666029]
[u'bikini', 0.24931885, u'tub', 0.14753929, u'bathtub', 0.12984186, u'brassiere', 0.069048718, u'bath_towel', 0.064987622]
[u'bath_towel', 0.22965324, u'tub', 0.17061464, u'maillot', 0.099859096, u'fur_coat', 0.072414681, u'bathtub', 0.065555736]
[u'panpipe', 0.25239486, u'drumstick', 0.080252193, u'bikini', 0.065427944, u'flute', 0.060649477, u'lipstick', 0.025938692]
[u'bathing_cap', 0.11504956, u'sunscreen', 0.073826231, u'Band_Aid', 0.051269811, u'vizsla', 0.037926007, u'ice_lolly', 0.03148796]
[u'bath_towel', 0.20440111, u'tub', 0.095852867, u'lipstick', 0.086752325, u'bikini', 0.080738686, u'fur_coat', 0.066470928]
[u'tub', 0.35597587, u'bathtub', 0.10736012, u'gown', 0.065439366, u'bikini', 0.045378786, u'shower_cap', 0.042203832]
[u'bikini', 0.36261061, u'tub', 0.28407046, u'bathtub', 0.074525535, u'maillot', 0.055022586, u'brassiere', 0.041971464]
[u'bikini', 0.3136327, u'gown', 0.17001285, u'maillot', 0.16679399, u'maillot', 0.13419746, u'fur_coat', 0.031694092]
[u'lipstick', 0.5250473, u'ice_lolly', 0.29588634, u'bubble', 0.039134938, u'bathtub', 0.032901064, u'nipple', 0.031496529]
[u'tub', 0.33612996, u'bikini', 0.31795418, u'bathtub', 0.1034786, u'maillot', 0.087117039, u'bath_towel', 0.049342945]
[u'wooden_spoon', 0.10001459, u'wig', 0.071329676, u'maillot', 0.063050956, u'wall_clock', 0.061103884, u'hand_blower', 0.049621634]
[u'bikini', 0.21776547, u'groom', 0.16978769, u'gown', 0.097265527, u'sarong', 0.03589623, u'maillot', 0.027792873]
[u'bath_towel', 0.24756943, u'bathtub', 0.20786428, u'tub', 0.1173071, u'fur_coat', 0.085501999, u'shower_cap', 0.083073229]
[u'tub', 0.41198108, u'bathtub', 0.20120735, u'bath_towel', 0.11051792, u'brassiere', 0.10359984, u'bikini', 0.072941594]
[u'bathtub', 0.18138303, u'tub', 0.17359282, u'bikini', 0.087503403, u'shower_cap', 0.081004322, u'hair_spray', 0.043828811]
[u'tub', 0.22160324, u'bathtub', 0.21741697, u'swimming_trunks', 0.10666236, u'bikini', 0.087315366, u'vizsla', 0.043991681]
[u'bikini', 0.347231, u'bathtub', 0.12210897, u'maillot', 0.083668381, u'brassiere', 0.055651344, u'tub', 0.053665653]
[u'ice_lolly', 0.2404258, u'lipstick', 0.099807896, u'syringe', 0.065854907, u'flute', 0.034324806, u'feather_boa', 0.030379787]
[u'bikini', 0.49858803, u'Indian_elephant', 0.067839175, u'tub', 0.065678596, u'bathtub', 0.054530509, u'maillot', 0.02636889]
[u'bikini', 0.49362883, u'brassiere', 0.41071722, u'maillot', 0.023173885, u'bonnet', 0.020710746, u'wig', 0.0091462266]
[u'swimming_trunks', 0.80213267, u'snorkel', 0.030382508, u'bathing_cap', 0.024168406, u'bikini', 0.021409448, u'maillot', 0.017119655]
