[u'maraca', 0.20197167, u'joystick', 0.099863343, u'go-kart', 0.069780573, u'dumbbell', 0.058021571, u'crutch', 0.052204899]
[u'brassiere', 0.12519082, u'swing', 0.10625608, u'bikini', 0.084721118, u'tub', 0.072037712, u'bathtub', 0.062925711]
[u'bikini', 0.75304073, u'maillot', 0.059683215, u'maillot', 0.026897509, u'bathing_cap', 0.023898628, u'sandal', 0.014940467]
[u'swimming_trunks', 0.20772198, u'diaper', 0.070830114, u'shoji', 0.060901772, u'dumbbell', 0.055097982, u'tub', 0.048103675]
[u'dumbbell', 0.14078523, u'miniskirt', 0.098774664, u'pole', 0.065442123, u'gasmask', 0.064773463, u'teddy', 0.042987816]
[u'maillot', 0.24722141, u'maillot', 0.17373724, u'bikini', 0.10628491, u'rifle', 0.086664192, u'bathing_cap', 0.023730662]
[u'bikini', 0.35560209, u'swimming_trunks', 0.25899312, u'diaper', 0.048334002, u'brassiere', 0.046808206, u'maillot', 0.044623021]
[u'water_bottle', 0.084197924, u'saltshaker', 0.069390461, u'lighter', 0.069287732, u'pop_bottle', 0.05237899, u'remote_control', 0.042934876]
[u'balance_beam', 0.14406535, u'marimba', 0.088332653, u'flute', 0.04082733, u'ocarina', 0.034786265, u'paddle', 0.03163866]
[u'revolver', 0.39975128, u'power_drill', 0.054809, u'dumbbell', 0.040848851, u'Italian_greyhound', 0.039133526, u'spider_monkey', 0.024903823]
[u'pole', 0.82715696, u'racket', 0.088093951, u'horizontal_bar', 0.031400591, u'bow', 0.013547732, u'volleyball', 0.0090866117]
[u'projectile', 0.22124228, u'cannon', 0.16924872, u'tank', 0.14887483, u'missile', 0.077714093, u'military_uniform', 0.07622391]
[u'gasmask', 0.29287943, u'bikini', 0.091059037, u'rifle', 0.083609022, u'scuba_diver', 0.071116783, u'maillot', 0.045607202]
[u'bubble', 0.15331596, u'chain', 0.081286497, u'maillot', 0.066033289, u'unicycle', 0.039426539, u'stage', 0.035948478]
[u'bikini', 0.74377501, u'maillot', 0.11348242, u'maillot', 0.027041564, u'sandal', 0.022924941, u'comic_book', 0.021324381]
[u'sombrero', 0.19739956, u'drum', 0.19060829, u'cowboy_hat', 0.081280529, u'accordion', 0.056930855, u'umbrella', 0.047959514]
[u'seat_belt', 0.079699144, u'brassiere', 0.062783629, u'maraca', 0.043114215, u'sleeping_bag', 0.035129916, u'ice_lolly', 0.030488176]
[u'piggy_bank', 0.55380934, u'gasmask', 0.075618006, u'knee_pad', 0.059703529, u'comic_book', 0.036894031, u'saltshaker', 0.030362153]
[u'miniskirt', 0.12102515, u'maillot', 0.10767659, u'bikini', 0.086439498, u'pole', 0.060901772, u'unicycle', 0.039238669]
[u'bikini', 0.16664051, u'maillot', 0.15811247, u'miniskirt', 0.13303578, u'maillot', 0.10336174, u'brassiere', 0.09457539]
[u'prison', 0.24555923, u'pole', 0.17489447, u'crutch', 0.10940765, u'sliding_door', 0.049032893, u'carousel', 0.043519627]
[u'prison', 0.28873482, u'guillotine', 0.15785478, u'bikini', 0.10064705, u'pole', 0.046545826, u'punching_bag', 0.023469621]
